stop_id,stop_name,stop_lat,stop_lon,morning_demand,evening_demand,peak_demand,activity_count,demand_service_ratio,is_underserved
CAST,Castro Valley,37.690776,-122.075615,26.5,23.3,24.9,336,0.07410714285714286,False
MLBR,Millbrae (Caltrain Transfer Platform),37.600199,-122.38684,26.3,19.0,22.65,331,0.06842900302114803,False
SBRN,San Bruno,37.63772,-122.416384,40.5,44.5,42.5,677,0.06277695716395865,False
SSAN,South San Francisco,37.664437,-122.444254,40.5,44.5,42.5,677,0.06277695716395865,False
LAKE,Lake Merritt,37.797357,-122.265232,54.3,59.8,57.05,912,0.0625548245614035,False
WDUB,West Dublin / Pleasanton,37.69976,-121.928301,21.8,20.0,20.9,336,0.062202380952380946,False
DUBL,Dublin / Pleasanton,37.701692,-121.899242,21.8,20.0,20.9,336,0.062202380952380946,False
COLM,Colma,37.684642,-122.466167,40.7,43.2,41.95,677,0.0619645494830133,False
FTVL,Fruitvale,37.774873,-122.224067,53.8,59.2,56.5,912,0.06195175438596491,False
RICH,Richmond,37.936795,-122.353004,33.3,36.4,34.849999999999994,582,0.05987972508591064,False
PLZA,El Cerrito Plaza,37.902633,-122.298895,33.3,36.4,34.849999999999994,582,0.05987972508591064,False
DELN,El Cerrito Del Norte,37.925205,-122.316868,33.3,36.4,34.849999999999994,582,0.05987972508591064,False
ORIN,Orinda,37.878503,-122.183717,25.9,26.3,26.1,436,0.05986238532110092,False
ROCK,Rockridge,37.844795,-122.251271,25.4,26.2,25.799999999999997,436,0.0591743119266055,False
ANTC,Antioch,37.995415,-121.780353,20.6,18.3,19.450000000000003,329,0.05911854103343466,False
PCTR,Pittsburg Center,38.016873,-121.889011,20.6,18.3,19.450000000000003,329,0.05911854103343466,False
12TH,12th Street / Oakland City Center,37.803471,-122.271589,56.8,62.6,59.7,1018,0.05864440078585462,False
WARM,Warm Springs / South Fremont,37.502307,-121.939358,32.7,35.2,33.95,579,0.05863557858376512,False
NBRK,North Berkeley,37.874032,-122.283508,32.6,35.6,34.1,582,0.05859106529209622,False
FRMT,Fremont,37.557513,-121.976605,32.7,35.2,33.95,582,0.05833333333333334,False
UCTY,Union City,37.590765,-122.01723,32.7,35.2,33.95,582,0.05833333333333334,False
MLPT,Milpitas,37.409836,-121.890803,32.5,34.9,33.7,579,0.05820379965457686,False
BERY,Berryessa / North San Jose,37.368495,-121.874661,32.5,34.9,33.7,579,0.05820379965457686,False
DBRK,Downtown Berkeley,37.870117,-122.268078,32.6,35.1,33.85,582,0.05816151202749141,False
ASHB,Ashby,37.853069,-122.26975,32.6,35.1,33.85,582,0.05816151202749141,False
SANL,San Leandro,37.721806,-122.160713,51.2,54.8,53.0,912,0.0581140350877193,False
16TH,16th Street / Mission,37.765176,-122.419755,66.9,78.9,72.9,1258,0.057949125596184425,False
GLEN,Glen Park,37.733269,-122.433557,66.5,78.4,72.45,1258,0.05759141494435612,False
24TH,24th Street / Mission,37.752422,-122.418518,66.5,78.4,72.45,1258,0.05759141494435612,False
SHAY,South Hayward,37.634363,-122.057158,32.2,34.8,33.5,582,0.05756013745704467,False
MONT,Montgomery Street,37.789213,-122.401642,66.2,78.2,72.2,1258,0.05739268680445151,False
CIVC,Civic Center / UN Plaza,37.77945,-122.413879,66.2,78.2,72.2,1258,0.05739268680445151,False
EMBR,Embarcadero,37.792789,-122.39708,66.2,78.2,72.2,1258,0.05739268680445151,False
POWL,Powell Street,37.784645,-122.407387,66.2,78.2,72.2,1258,0.05739268680445151,False
MCAR,MacArthur,37.828814,-122.267163,55.5,60.9,58.2,1018,0.05717092337917486,False
19TH,19th Street Oakland,37.80806,-122.268722,55.5,60.9,58.2,1018,0.05717092337917486,False
OAKL,Oakland International Airport Station,37.713256,-122.212237,54.3,59.5,56.9,1005,0.05661691542288557,False
BALB,Balboa Park,37.721758,-122.44751,65.4,77.0,71.2,1258,0.056597774244833074,False
PITT,Pittsburg / Bay Point,38.01895,-121.944248,25.2,23.3,24.25,430,0.0563953488372093,False
NCON,North Concord / Martinez,38.003407,-122.024561,25.2,23.3,24.25,430,0.0563953488372093,False
DALY,Daly City,37.706304,-122.468994,64.9,76.7,70.80000000000001,1258,0.0562798092209857,False
HAYW,Hayward,37.669731,-122.086941,31.6,33.6,32.6,582,0.056013745704467356,False
CONC,Concord,37.973773,-122.029126,25.2,23.3,24.25,436,0.05561926605504587,False
PHIL,Pleasant Hill / Contra Costa Centre,37.928463,-122.056015,25.2,23.3,24.25,436,0.05561926605504587,False
WCRK,Walnut Creek,37.905812,-122.067379,25.2,23.3,24.25,436,0.05561926605504587,False
LAFY,Lafayette,37.89322,-122.124644,25.2,23.3,24.25,436,0.05561926605504587,False
BAYF,Bay Fair,37.696938,-122.126431,47.5,50.8,49.15,918,0.05354030501089325,False
SFIA,San Francisco International Airport,37.616023,-122.391895,51.0,56.1,53.55,1002,0.053443113772455086,False
WOAK,West Oakland,37.804923,-122.295144,63.3,69.5,66.4,1258,0.05278219395866455,False
COLS,Coliseum,37.753604,-122.196698,95.8,105.8,100.8,1917,0.05258215962441314,False
